step,expert_sb,prefix_pages,alloc_kv,ever_activated
0,48,0,0,8
32000,51,0,125,8
64000,53,191,58,12
96000,53,347,26,15
128000,53,347,151,15
160000,53,538,84,17
192000,53,729,18,18
224000,53,729,143,18
256000,54,920,76,21
288000,54,1111,9,23
320000,53,1111,134,23
352000,51,1302,67,24
384000,51,1493,0,24
416000,50,1493,125,24
448000,48,1684,58,25
480000,47,1684,183,25
512000,46,1875,116,27
544000,44,2066,49,28
576000,43,2066,174,28
608000,42,2257,107,28
640000,41,2448,40,29
672000,39,2448,165,29
704000,38,2639,98,29
736000,37,2830,31,29
768000,35,2830,156,29
